CONTROLE,PRODUTO,UNITARIO,QUANTIDADE,CUSTO
10000388,20,1.50,2.000,0.00
10000388,71,8.00,2.000,0.00
10000389,693,8.00,2.000,0.00
10000555,1454,1.80,1.000,0.00
10000555,1346,1.50,1.000,0.00
10000580,20,1.50,30.000,0.00
10000581,20,1.50,30.000,0.00
10000581,333,20.50,3.000,0.00
10000581,876,1.70,16.000,0.00
10000582,653,5.50,2.000,0.00
10000584,765,6.00,1.000,0.00
10000591,1024,0.60,20.000,0.00
10000715,71,8.00,3.000,0.00
10000715,20,1.50,8.000,0.00
10000715,1145,14.00,2.000,0.00
10000715,676,0.30,10.000,0.00
10000715,981,2.00,10.000,0.00
10000715,980,2.50,5.000,0.00
10000716,806,14.00,1.000,0.00
10000716,1024,0.60,3.000,0.00
10000716,893,1.00,1.000,0.00
10000717,20,1.50,25.000,0.00
10000717,333,20.50,2.000,0.00
10000717,326,4.50,1.000,0.00
10000717,71,8.00,1.000,0.00
10000718,1170,2.30,1.000,0.00
10000718,1133,36.00,1.000,0.00
10000748,763,5.00,1.000,0.00
10000748,20,1.50,3.000,0.00
10000749,1194,4.00,1.000,0.00
10000749,333,20.50,6.000,0.00
10000750,1024,0.60,10.000,0.00
10000755,75,3.00,1.000,0.00
10000756,1145,14.00,1.000,0.00
10000757,71,8.00,1.000,0.00
10000758,978,18.00,1.000,0.00
10000771,1244,0.39,50.000,0.00
10000771,333,20.50,1.000,0.00
10000771,326,4.50,2.000,0.00
10000771,20,1.50,6.000,0.00
10000771,524,11.00,1.000,0.00
10000772,1024,0.60,20.000,0.00
10000773,578,0.71,8.000,0.00
10000773,577,0.51,20.000,0.00
10000773,608,4.00,1.000,0.00
10000773,984,0.50,1.000,0.00
10000948,981,2.00,10.000,0.00
10001461,20,1.50,10.000,0.00
10001582,75,3.00,1.000,0.00
10001582,259,3.50,1.000,0.00
10001582,457,9.00,1.000,0.00
10001583,333,20.50,1.000,0.00
10001583,20,1.50,4.000,0.00
10001591,333,20.50,1.000,0.00
10001591,1768,1.00,2.000,0.00
10001632,714,3.00,1.000,0.00
10001632,1541,1.60,2.000,0.00
10001633,714,3.00,1.000,0.00
10001633,1541,1.60,3.000,0.00
10001634,20,1.50,5.000,0.00
10001635,71,8.00,1.000,0.00
10001638,1158,11.00,1.000,0.00
10001639,1183,5.00,3.500,0.00
10001640,20,1.50,2.000,0.00
10001640,71,8.00,1.000,0.00
10001640,981,2.00,2.000,0.00
10001643,333,20.50,2.000,0.00
,,0.00,,0.00
,,0.00,,0.00
,,0.00,,0.00
,,0.00,,0.00
,,0.00,,0.00
10001780,20,1.50,1.000,0.00
